2026-05-23 20:34:50 [INFO] febbyBot: WindowCapturer encerrado.
2026-05-23 20:34:50 [INFO] febbyBot: BotEngine finalizado com segurança.
2026-05-23 20:37:19 [WARNING] febbyBot: Executando sem privilégios de Administrador. Envio de teclas pode falhar.
2026-05-23 20:37:19 [INFO] febbyBot: Iniciando febbyBot...
2026-05-23 20:37:19 [INFO] febbyBot: Configurações carregadas com sucesso!
2026-05-23 20:37:19 [INFO] febbyBot: Janela selecionada: 'Tibia - Febbynist - SAN 2 - Optional-PvP' (hwnd=9180574)
2026-05-23 20:37:19 [INFO] febbyBot: WindowCapturer inicializado para janela contendo: 'Tibia'
2026-05-23 20:37:19 [INFO] febbyBot: Módulo BarDetector (HP) inicializado com sucesso.
2026-05-23 20:37:19 [INFO] febbyBot: Módulo BarDetector (Mana) inicializado com sucesso.
2026-05-23 20:37:19 [INFO] febbyBot: ActionHandler inicializado utilizando o método: 'keyboard'
2026-05-23 20:37:19 [INFO] febbyBot: Engine estruturada de cura paralela:
2026-05-23 20:37:19 [INFO] febbyBot:   -> Regras de HP (2):
2026-05-23 20:37:19 [INFO] febbyBot:      * [Cura de Emergência (Urgente)]: HP <= 40% | Hotkey: F1 | Cooldown: 1000ms
2026-05-23 20:37:19 [INFO] febbyBot:      * [Cura Leve (Manutenção)]: HP <= 90% | Hotkey: F2 | Cooldown: 500ms
2026-05-23 20:37:19 [INFO] febbyBot:   -> Regras de Mana (1):
2026-05-23 20:37:19 [INFO] febbyBot:      * [Usar Mana Potion]: Mana <= 70% | Hotkey: F3 | Cooldown: 1000ms
2026-05-23 20:39:25 [INFO] febbyBot: Cura de HP executada: Cura Leve (Manutenção) (Tecla F2, HP 87.8%)
2026-05-23 20:39:25 [INFO] febbyBot: Cura de HP executada: Cura Leve (Manutenção) (Tecla F2, HP 86.4%)
2026-05-23 20:39:26 [INFO] febbyBot: Cura de HP executada: Cura Leve (Manutenção) (Tecla F2, HP 86.4%)
2026-05-23 20:39:26 [INFO] febbyBot: Cura de HP executada: Cura Leve (Manutenção) (Tecla F2, HP 82.6%)
